isbn,title,authors,description,subjects,text,wiki_description
0373484607,Destinys Woman,Lindsay McKenna,,"Man-woman relationships, Fiction, Fiction, romance, contemporary","Destinys Woman Lindsay McKenna Man-woman relationships, Fiction, Fiction, romance, contemporary",
0451411137,Men in kilts,Katie MacAlister,,"Women authors, Fiction, Romance, Americans, Scots, Fiction, romance, contemporary, Scotland, fiction","Men in kilts Katie MacAlister Women authors, Fiction, Romance, Americans, Scots, Fiction, romance, contemporary, Scotland, fiction",
0060096071,Princess in Waiting,Meg Cabot,,"Teen fiction, Diaries, Juvenile fiction, Fiction, Dating (Social custom), Dating (Social customs), Princesses, Spanish language materials, Large type books, Children's fiction, Princesses, fiction, Dating (social customs), fiction, Diaries, fiction, New york (n.y.), fiction, Thermopolis, mia (fictitious character), fiction","Princess in Waiting Meg Cabot Teen fiction, Diaries, Juvenile fiction, Fiction, Dating (Social custom), Dating (Social customs), Princesses, Spanish language materials, Large type books, Children's fiction, Princesses, fiction, Dating (social customs), fiction, Diaries, fiction, New york (n.y.), fiction, Thermopolis, mia (fictitious character), fiction","The Princess Diaries, Volume IV: Princess in Waiting, released in the United Kingdom as The Princess Diaries: Mia Goes Forth, is a young adult book in the Princess Diaries series. Written by Meg Cabot, it was published in 2003 by Harper Collins Publishers and is the fourth book in the series."
0553493280,Rome,Rachel Hawthorne,,"Fiction, Teenagers, Dating (Social customs)","Rome Rachel Hawthorne Fiction, Teenagers, Dating (Social customs)","Rome (Italian and Latin: Roma, pronounced [ˈroːma] ) is the capital city and most populated comune (municipality) of Italy. It is also the administrative centre of the Lazio region and of the Metropolitan City of Rome. A special comune named Roma Capitale with 2,746,984 residents in 1,285 km2 (496.1 sq mi), Rome is the third most populous city in the European Union by population within city limits."
0743245733,Candy and Me (A Love Story),Hilary Liftin,,"Women, biography, Candy","Candy and Me (A Love Story) Hilary Liftin Women, biography, Candy",
0843952962,My life as a snow bunny,Kaz Delaney,,,My life as a snow bunny Kaz Delaney,
0345242513,Wild Card,Raymond Hawkey,,"Science Fiction in English, Presidential Trilogy, Children's fiction","Wild Card Raymond Hawkey Science Fiction in English, Presidential Trilogy, Children's fiction",Wild card most commonly refers to:
038533401X,City of light,Lauren Belfer,,"Industrial revolution, Fiction, Electrification, Women school principals, Pan-American Exposition (1901 : Buffalo, N.Y.), Social conditions, New York (State), Buffalo, City and town life, Pan-American Exposition. fast (OCoLC)fst01406910, General, FICTION, Large type books, Historical fiction, Mystery fiction, Private schools, Social life and customs, Fiction, historical, general, Buffalo (n.y.), fiction, Fiction, suspense, Fiction, mystery & detective, general","City of light Lauren Belfer Industrial revolution, Fiction, Electrification, Women school principals, Pan-American Exposition (1901 : Buffalo, N.Y.), Social conditions, New York (State), Buffalo, City and town life, Pan-American Exposition. fast (OCoLC)fst01406910, General, FICTION, Large type books, Historical fiction, Mystery fiction, Private schools, Social life and customs, Fiction, historical, general, Buffalo (n.y.), fiction, Fiction, suspense, Fiction, mystery & detective, general","""(The) City of Light(s)"" may refer to:"
0440200873,Everytime I Love You,Heather Graham,,"Reincarnation, Fiction, History, Large type books, Russian language, Love stories","Everytime I Love You Heather Graham Reincarnation, Fiction, History, Large type books, Russian language, Love stories",
0440205662,Dead Winter,William G. Tapply,,,Dead Winter William G. Tapply,
0449201651,Flower of Love,Janet Louise Roberts,,historical romance fiction,Flower of Love Janet Louise Roberts historical romance fiction,"Flower of Love is a compilation budget album by American country artist Lynn Anderson. It was released circa 1971 via Pickwick Records but is often credited as a 1973 release, the year of its release on 8 track tape and was produced by Slim Williamson. It was her first compilation release for the Pickwick label, reissues of songs Anderson recorded at Chart Records during her years at the label."
0770108881,The Tycoon,George Alexanders,,"Fiction, general","The Tycoon George Alexanders Fiction, general","A tycoon is a business magnate, an entrepreneur of great influence or importance."
0804104557,The 13th directorate,Barry Chubin,,,The 13th directorate Barry Chubin,
0812521609,Jewel of the Sea,Susan Childress,,Florida -- Fiction,Jewel of the Sea Susan Childress Florida -- Fiction,
0862725046,Kingfisher field guide to the birds of Britain & Europe,John Gooders,,"Birds, Identification","Kingfisher field guide to the birds of Britain & Europe John Gooders Birds, Identification",
1559212527,Queen Lucia,E. F. Benson,,"Fiction, Lucia (Fictitious character), Women, English Villages, Large type books, Fiction, humorous, general, Lucia (fictitious character), fiction, England, fiction, Fiction, short stories (single author), Fiction, general, Texts","Queen Lucia E. F. Benson Fiction, Lucia (Fictitious character), Women, English Villages, Large type books, Fiction, humorous, general, Lucia (fictitious character), fiction, England, fiction, Fiction, short stories (single author), Fiction, general, Texts","Queen Lucia is a 1920 comic novel written by E. F. Benson. It is the first of six novels in the popular Mapp and Lucia series, about idle women in the 1920s and their struggle for social dominance over their small communities. This book introduces Emmeline Lucas, known as Lucia to her friends, the social queen of the fictional Elizabethan village of Riseholme, as well as her husband Philip (""Peppino"") Lucas, her best friend Georgie Pillson and her friendly rival, Daisy Quantock."
0758201516,Lemon Meringue Pie Murder,Joanne Fluke,,"Fiction, mystery & detective, women sleuths, Swensen, hannah (fictitious character), fiction, Private investigators, fiction, Minnesota, fiction","Lemon Meringue Pie Murder Joanne Fluke Fiction, mystery & detective, women sleuths, Swensen, hannah (fictitious character), fiction, Private investigators, fiction, Minnesota, fiction",
0606189831,2061,Arthur C. Clarke,,"Science fiction, Extraterrestrial beings, Fiction, General Science fiction, Long Now Manual for Civilization, Space vehicles, Human-computer interaction, Fiction, science fiction, general, English literature, Twenty-first century","2061 Arthur C. Clarke Science fiction, Extraterrestrial beings, Fiction, General Science fiction, Long Now Manual for Civilization, Space vehicles, Human-computer interaction, Fiction, science fiction, general, English literature, Twenty-first century","In contemporary history, the third millennium is the current millennium in the Anno Domini or Common Era, under the Gregorian calendar. It began on 1 January 2001 (MMI) and will end on 31 December 3000 (MMM), spanning the 21st to 30th centuries.
Ongoing futures studies seek to understand what will likely continue and what could plausibly change in this period and beyond."
0679454489,Merrick,Anne Rice,,"Fiction, Vampires, Witches, Occult fiction, Horror tales, Vampires -- Fiction, General, Large type books, Fiction, horror, Modern & contemporary fiction (post c 1945), FICTION / Fantasy / Paranormal, FICTION / Ghost, FICTION / Thrillers / Suspense, FICTION / Occult & Supernatural, New York Times reviewed, Fiction, occult & supernatural, New orleans (la.), fiction, Guatemala, fiction, Vampires, fiction, Louisiana, fiction, Paranormal fiction","Merrick Anne Rice Fiction, Vampires, Witches, Occult fiction, Horror tales, Vampires -- Fiction, General, Large type books, Fiction, horror, Modern & contemporary fiction (post c 1945), FICTION / Fantasy / Paranormal, FICTION / Ghost, FICTION / Thrillers / Suspense, FICTION / Occult & Supernatural, New York Times reviewed, Fiction, occult & supernatural, New orleans (la.), fiction, Guatemala, fiction, Vampires, fiction, Louisiana, fiction, Paranormal fiction",Merrick may refer to:
0809246287,How to live with a neurotic dog,Stephen Baker,,"Dogs, Humor, Caricatures and cartoons, American wit and humor, animals, American wit and humor, pictorial, Cartoons and caricatures","How to live with a neurotic dog Stephen Baker Dogs, Humor, Caricatures and cartoons, American wit and humor, animals, American wit and humor, pictorial, Cartoons and caricatures",
0817405607,You and your camera,William R. Hawken,,Photography,You and your camera William R. Hawken Photography,
1565921879,Perl 5 Desktop Reference,Johan Vromans,,"Perl (computer program language), Perl (Computer program language), Object-oriented programming (Computer science), Perl (Langage de programmation), Programmation orientée objet (Informatique), Perl, Perl 5, PERL","Perl 5 Desktop Reference Johan Vromans Perl (computer program language), Perl (Computer program language), Object-oriented programming (Computer science), Perl (Langage de programmation), Programmation orientée objet (Informatique), Perl, Perl 5, PERL",
0375706933,My cat Spit McGee,Willie Morris,,"20th century, American Authors, Anecdotes, Authors, American, Biography, Cat owners, Cats, Authors, biography, Cats, anecdotes","My cat Spit McGee Willie Morris 20th century, American Authors, Anecdotes, Authors, American, Biography, Cat owners, Cats, Authors, biography, Cats, anecdotes",
0553290983,Elven star,"Margaret Weis, Tracy Hickman",,"Death Gate Universe (Imaginary place), Fiction, Fantasy fiction, Fiction, fantasy, general, Fiction, fantasy, epic, Death gate universe (imaginary place), fiction","Elven star Margaret Weis, Tracy Hickman Death Gate Universe (Imaginary place), Fiction, Fantasy fiction, Fiction, fantasy, general, Fiction, fantasy, epic, Death gate universe (imaginary place), fiction","A heptagram, septagram, septegram or septogram is a seven-point star drawn with seven straight strokes.
The name heptagram combines a numeral prefix, hepta-, with the Greek suffix -gram. The -gram suffix derives from γραμμῆ (grammē) meaning a line."
0553405896,Cats in May,Doreen Tovey,,"Fiction, Cats, Siamese cat, Cat owners, Anecdotes, Folklore, Country life, Biography","Cats in May Doreen Tovey Fiction, Cats, Siamese cat, Cat owners, Anecdotes, Folklore, Country life, Biography",
0671678752,Deranged,Harold Schechter,,"True crime, Fiction, general, Murder, Trials (Murder), Case studies, Murder, united states, Murderers, Homicide investigation","Deranged Harold Schechter True crime, Fiction, general, Murder, Trials (Murder), Case studies, Murder, united states, Murderers, Homicide investigation","Deranged may refer to psychosis, a generic psychiatric term for a mental state often described as involving a ""loss of contact with reality""."
